"id","state_id:id","name"
district_vn_1,base.state_vn_VN-SG,"Quận 1"
district_vn_2,base.state_vn_VN-SG,"Quận 2"
district_vn_3,base.state_vn_VN-SG,"Quận 3"
district_vn_4,base.state_vn_VN-SG,"Quận 4"
district_vn_5,base.state_vn_VN-SG,"Quận 5"
district_vn_6,base.state_vn_VN-SG,"Quận 6"
district_vn_7,base.state_vn_VN-SG,"Quận 7"
district_vn_8,base.state_vn_VN-SG,"Quận 8"
district_vn_9,base.state_vn_VN-SG,"Quận 9"
district_vn_10,base.state_vn_VN-SG,"Quận 10"
district_vn_11,base.state_vn_VN-SG,"Quận 11"
district_vn_12,base.state_vn_VN-SG,"Quận 12"
district_vn_13,base.state_vn_VN-SG,"Quận Tân Bình"
district_vn_14,base.state_vn_VN-SG,"Quận Tân Phú"
district_vn_15,base.state_vn_VN-SG,"Quận Phú Nhuận"
district_vn_16,base.state_vn_VN-SG,"Quận Bình Tân"
district_vn_17,base.state_vn_VN-SG,"Huyện Hóc Môn"
district_vn_18,base.state_vn_VN-SG,"Huyện Củ Chi"
district_vn_19,base.state_vn_VN-SG,"Quận Gò Vấp"
district_vn_20,base.state_vn_VN-SG,"Quận Bình Thạnh"
district_vn_21,base.state_vn_VN-SG,"Quận Thủ Đức"
district_vn_22,base.state_vn_VN-39,"Thành phố Biên Hòa"
district_vn_23,base.state_vn_VN-57,"Thành phố Thủ Dầu Một"
district_vn_24,base.state_vn_VN-57,"Thị xã Dĩ An"
district_vn_25,base.state_vn_VN-57,"Thị xã Thuận An"
district_vn_26,base.state_vn_VN-HN,"Quận Hà Đông"
district_vn_27,base.state_vn_VN-43,"Thành phố Vũng Tàu"
district_vn_28,base.state_vn_VN-34,"Thành phố Nha Trang"
district_vn_29,base.state_vn_VN-35,"Thành phố Đà Lạt"
district_vn_30,base.state_vn_VN-HN,"Quận Bắc Từ Liêm"
district_vn_31,base.state_vn_VN-33,"Thành phố Buôn Ma Thuột"
district_vn_32,base.state_vn_VN-HN,"Quận Ba Đình"
district_vn_33,base.state_vn_VN-HN,"Quận Cầu Giấy"
district_vn_34,base.state_vn_VN-HN,"Quận Đống Đa"
district_vn_35,base.state_vn_VN-HN,"Quận Hai Bà Trưng"
district_vn_36,base.state_vn_VN-HN,"Quận Hoàn Kiếm"
district_vn_37,base.state_vn_VN-HN,"Quận Hoàng Mai"
district_vn_38,base.state_vn_VN-HN,"Quận Long Biên"
district_vn_39,base.state_vn_VN-HN,"Quận Tây Hồ"
district_vn_40,base.state_vn_VN-HN,"Quận Thanh Xuân"
district_vn_41,base.state_vn_VN-41,"Thành phố Tân An"
district_vn_42,base.state_vn_VN-DN,"Quận Hải Châu"
district_vn_43,base.state_vn_VN-DN,"Quận Thanh Khê"
district_vn_44,base.state_vn_VN-DN,"Quận Sơn Trà"
district_vn_45,base.state_vn_VN-DN,"Quận Ngũ Hành Sơn"
district_vn_46,base.state_vn_VN-DN,"Quận Liên Chiểu"
district_vn_47,base.state_vn_VN-DN,"Quận Cẩm Lệ"
district_vn_48,base.state_vn_VN-SG,"Huyện Bình Chánh"
district_vn_49,base.state_vn_VN-SG,"Huyện Nhà Bè"
district_vn_50,base.state_vn_VN-46,"Thành phố Mỹ Tho"
district_vn_51,base.state_vn_VN-50,"Thành phố Bến Tre"
district_vn_52,base.state_vn_VN-51,"Thành phố Trà Vinh"
district_vn_53,base.state_vn_VN-49,"Thành phố Vĩnh Long"
district_vn_54,base.state_vn_VN-45,"Thành phố Cao Lãnh"
district_vn_55,base.state_vn_VN-44,"Thành phố Long Xuyên"
district_vn_56,base.state_vn_VN-52,"Thành phố Sóc Trăng"
district_vn_57,base.state_vn_VN-47,"Thành phố Rạch Giá"
district_vn_58,base.state_vn_VN-CT,"Quận Ninh Kiều"
district_vn_59,base.state_vn_VN-CT,"Quận Bình Thủy"
district_vn_60,base.state_vn_VN-CT,"Quận Cái Răng"
district_vn_61,base.state_vn_VN-CT,"Quận Ô Môn"
district_vn_62,base.state_vn_VN-CT,"Quận Thốt Nốt"
district_vn_63,base.state_vn_VN-70,"Thành phố Vĩnh Yên"
district_vn_64,base.state_vn_VN-HN,"Huyện Mê Linh"
district_vn_65,base.state_vn_VN-HN,"Huyện Đông Anh"
district_vn_66,base.state_vn_VN-HN,"Huyện Sóc Sơn"
district_vn_67,base.state_vn_VN-26,"Thành phố Huế"
district_vn_68,base.state_vn_VN-HP,"Quận Ngô Quyền"
district_vn_69,base.state_vn_VN-HP,"Quận Lê Chân"
district_vn_70,base.state_vn_VN-HP,"Quận Kiến An"
district_vn_71,base.state_vn_VN-HP,"Quận Hải An"
district_vn_72,base.state_vn_VN-67,"Thành phố Nam Định"
district_vn_73,base.state_vn_VN-63,"Thành phố Phủ Lý"
district_vn_74,base.state_vn_VN-21,"Thành phố Thanh Hóa"
district_vn_75,base.state_vn_VN-22,"Thành phố Vinh"
district_vn_76,base.state_vn_VN-30,"Thành phố Pleiku"
district_vn_77,base.state_vn_VN-HP,"Quận Hồng Bàng"
district_vn_78,base.state_vn_VN-23,"Thành phố Hà Tĩnh"
district_vn_79,base.state_vn_VN-24,"Thành phố Đồng Hới"
district_vn_80,base.state_vn_VN-25,"Thành phố Đông Hà"
district_vn_81,base.state_vn_VN-25,"Thị xã Quảng Trị"
district_vn_82,base.state_vn_VN-29,"Thành phố Quảng Ngãi"
district_vn_83,base.state_vn_VN-27,"Thành phố Tam Kỳ"
district_vn_84,base.state_vn_VN-27,"Thành phố Hội An"
district_vn_85,base.state_vn_VN-53,"Thành phố Bắc Kạn"
district_vn_86,base.state_vn_VN-04,"Thành phố Cao Bằng"
district_vn_87,base.state_vn_VN-09,"Thành phố Lạng Sơn"
district_vn_88,base.state_vn_VN-56,"Thành phố Bắc Ninh"
district_vn_89,base.state_vn_VN-59,"Thành phố Cà Mau"
district_vn_90,base.state_vn_VN-34,"Thành phố Cam Ranh"
district_vn_91,base.state_vn_VN-06,"Thành phố Yên Bái"
district_vn_92,base.state_vn_VN-14,"Thành phố Hòa Bình"
district_vn_93,base.state_vn_VN-66,"Thành phố Hưng Yên"
district_vn_94,base.state_vn_VN-13,"Thành phố Cẩm Phả"
district_vn_95,base.state_vn_VN-13,"Thành phố Uông Bí"
district_vn_96,base.state_vn_VN-DN,"Huyện Hòa Vang"
district_vn_97,base.state_vn_VN-43,"TT Phú Mỹ - cũ"
district_vn_98,base.state_vn_VN-39,"Huyện Trảng Bom"
district_vn_99,base.state_vn_VN-39,"Huyện Tân Phú"
district_vn_100,base.state_vn_VN-57,"Thị xã Tân Uyên"
district_vn_101,base.state_vn_VN-43,"Thị Xã Phú Mỹ"
district_vn_102,base.state_vn_VN-39,"Huyện Cẩm Mỹ"
district_vn_103,base.state_vn_VN-HN,"Huyện Gia Lâm"
district_vn_104,base.state_vn_VN-39,"Huyện Xuân Lộc"
district_vn_105,base.state_vn_VN-39,"Huyện Thống Nhất"
district_vn_106,base.state_vn_VN-39,"Huyện Nhơn Trạch"
district_vn_107,base.state_vn_VN-HP,"Quận Đồ Sơn"
district_vn_108,base.state_vn_VN-44,"Huyện Thoại Sơn"
district_vn_109,base.state_vn_VN-43,"Huyện Châu Đức"
district_vn_110,base.state_vn_VN-HN,"Huyện Thanh Trì"
district_vn_111,base.state_vn_VN-HN,"Thị xã Sơn Tây"
district_vn_112,base.state_vn_VN-21,"Thị xã Sầm Sơn"
district_vn_113,base.state_vn_VN-18,"Thị xã Tam Điệp"
district_vn_114,base.state_vn_VN-18,"Huyện Yên Khánh"
district_vn_115,base.state_vn_VN-20,"Huyện Đông Hưng"
district_vn_116,base.state_vn_VN-20,"Huyện Vũ Thư"
district_vn_117,base.state_vn_VN-66,"Huyện Kim Động"
district_vn_118,base.state_vn_VN-44,"Huyện Châu Thành"
district_vn_119,base.state_vn_VN-47,"Huyện Châu Thành"
district_vn_120,base.state_vn_VN-37,"Huyện Châu Thành"
district_vn_121,base.state_vn_VN-37,"Huyện Hòa Thành"
district_vn_122,base.state_vn_VN-58,"Huyện Đồng Phú"
district_vn_123,base.state_vn_VN-55,"Huyện Hòa Bình"
district_vn_124,base.state_vn_VN-45,"Huyện Cao Lãnh"
district_vn_125,base.state_vn_VN-45,"Huyện Lai Vung"
district_vn_126,base.state_vn_VN-HP,"Huyện Thủy Nguyên"
district_vn_127,base.state_vn_VN-61,"Huyện Nam Sách"
district_vn_128,base.state_vn_VN-56,"Huyện Quế Võ"
district_vn_129,base.state_vn_VN-56,"Huyện Tiên Du"
district_vn_130,base.state_vn_VN-56,"Thị xã Từ Sơn"
district_vn_131,base.state_vn_VN-69,"Huyện Đồng Hỷ"
district_vn_132,base.state_vn_VN-70,"Huyện Bình Xuyên"
district_vn_133,base.state_vn_VN-70,"Huyện Vĩnh Tường"
district_vn_134,base.state_vn_VN-70,"Huyện Yên Lạc"
district_vn_135,base.state_vn_VN-27,"Huyện Duy Xuyên"
district_vn_136,base.state_vn_VN-27,"Huyện Điện Bàn"
district_vn_137,base.state_vn_VN-29,"Huyện Sơn Tịnh"
district_vn_138,base.state_vn_VN-29,"Huyện Tư Nghĩa"
district_vn_139,base.state_vn_VN-34,"Huyện Diên Khánh"
district_vn_140,base.state_vn_VN-46,"Huyện Châu Thành"
district_vn_141,base.state_vn_VN-46,"Huyện Chợ Gạo"
district_vn_142,base.state_vn_VN-50,"Huyện Châu Thành"
district_vn_143,base.state_vn_VN-52,"Huyện Mỹ Xuyên"
district_vn_144,base.state_vn_VN-02,"Huyện Bát Xát"
district_vn_145,base.state_vn_VN-07,"Huyện Yên Sơn"
district_vn_146,base.state_vn_VN-57,"Huyện Dầu Tiếng"
district_vn_147,base.state_vn_VN-44,"Huyện Tri Tôn"
district_vn_148,base.state_vn_VN-44,"Huyện Tịnh Biên"
district_vn_149,base.state_vn_VN-44,"Thành phố Châu Đốc"
district_vn_150,base.state_vn_VN-44,"Huyện An Phú"
district_vn_151,base.state_vn_VN-44,"Huyện Tân Châu"
district_vn_152,base.state_vn_VN-44,"Huyện Phú Tân"
district_vn_153,base.state_vn_VN-61,"Thành phố Hải Dương"
district_vn_154,base.state_vn_VN-20,"Thành phố Thái Bình"
district_vn_155,base.state_vn_VN-03,"Thành phố Hà Giang"
district_vn_156,base.state_vn_VN-07,"Thành phố Tuyên Quang"
district_vn_157,base.state_vn_VN-68,"Thành phố Việt Trì"
district_vn_158,base.state_vn_VN-13,"Thành phố Móng Cái"
district_vn_159,base.state_vn_VN-13,"Thành phố Hạ Long"
district_vn_160,base.state_vn_VN-01,"Thành phố Lai Châu"
district_vn_161,base.state_vn_VN-71,"Thành phố Điện Biên Phủ"
district_vn_162,base.state_vn_VN-05,"Thành phố Sơn La"
district_vn_163,base.state_vn_VN-26,"Huyện Phú Vang"
district_vn_164,base.state_vn_VN-47,"Huyện Tân Hiệp"
district_vn_165,base.state_vn_VN-47,"Huyện Giồng Riềng"
district_vn_166,base.state_vn_VN-47,"Huyện An Biên"
district_vn_167,base.state_vn_VN-28,"Huyện Kon Plông"
district_vn_168,base.state_vn_VN-28,"Huyện Đắk Hà"
district_vn_169,base.state_vn_VN-35,"Huyện Đơn Dương"
district_vn_170,base.state_vn_VN-35,"Huyện Đức Trọng"
district_vn_171,base.state_vn_VN-35,"Thành phố Bảo Lộc"
district_vn_172,base.state_vn_VN-35,"Huyện Bảo Lâm"
district_vn_173,base.state_vn_VN-67,"Huyện Hải Hậu"
district_vn_174,base.state_vn_VN-67,"Huyện Ý Yên"
district_vn_175,base.state_vn_VN-22,"Thị xã Cửa Lò"
district_vn_176,base.state_vn_VN-22,"Huyện Đô Lương"
district_vn_177,base.state_vn_VN-22,"Huyện Anh Sơn"
district_vn_178,base.state_vn_VN-22,"Huyện Tân Kỳ"
district_vn_179,base.state_vn_VN-22,"Huyện Yên Thành"
district_vn_180,base.state_vn_VN-22,"Huyện Diễn Châu"
district_vn_181,base.state_vn_VN-22,"Huyện Quỳnh Lưu"
district_vn_182,base.state_vn_VN-22,"Thị xã Hoàng Mai"
district_vn_183,base.state_vn_VN-22,"Thị xã Thái Hòa"
district_vn_184,base.state_vn_VN-22,"Huyện Nghĩa Đàn"
district_vn_185,base.state_vn_VN-22,"Huyện Quỳ Hợp"
district_vn_186,base.state_vn_VN-22,"Huyện Con Cuông"
district_vn_187,base.state_vn_VN-22,"Huyện Nghi Lộc"
district_vn_188,base.state_vn_VN-36,"Huyện Ninh Sơn"
district_vn_189,base.state_vn_VN-32,"Thị Xã Sông Cầu"
district_vn_190,base.state_vn_VN-24,"Huyện Lệ Thủy"
district_vn_191,base.state_vn_VN-24,"Huyện Bố Trạch"
